TUMORKEY	METASTASISKEY	METASTASISORGAN
15489	15493	Heart
15494	15495	(Unspecified organ)
15494	15496	Lung
15494	15497	Liver
15494	15498	Lymph node
15494	15499	Adrenal gland
15518	15519	Bone marrow
15518	15520	Spleen
15518	15521	Thymus
15518	15522	Lymph node
15575	15576	Lung
15579	15580	Lung
15583	15584	Lung
15588	15589	Lung
15591	15592	Lung
15609	15610	Lung
15611	15612	Lung
15620	15621	Lung
15623	15624	Lung
15630	15631	Lung
15632	15633	Lung
15634	15635	Lung
15636	15637	Lung
15639	15644	Lung
15641	15643	Lung
15645	15646	Lung
15645	15647	Lymph node
15645	15648	Liver
15645	15649	Kidney
15650	15651	Lung
15650	15652	Lymph node
15650	15653	Liver
15650	15654	Kidney
15661	15663	Lung
15682	15683	Lung
15702	15704	Lung
15703	27442	Lung
15709	15710	Lung
15709	15711	Liver
15793	15794	Lung
15797	15798	Lung
15843	15844	Lung
15843	15845	Lymph node
15843	15846	Liver
15843	15847	Spleen
15843	15848	Bone
15849	15852	Lung
15850	15853	Lung
15851	15854	Lung
16031	16035	Lymph node
16031	16036	Lung
16063	16064	Lung
16146	16147	Lung
16154	16155	Liver
16154	16156	Lung
16154	16157	Kidney
16162	16163	Lung
16498	16499	Nerve
16758	16759	Lung
16758	16760	Liver
16826	16827	Spleen
16852	16853	(Unspecified organ)
16945	16946	Lung
17123	17124	Lung
17202	17200	Lymph node
17202	17201	CNS - Spinal cord
17331	17332	Lymph node
17331	17333	Kidney
17492	17493	Spleen
17492	17494	Liver
17492	17495	Thymus
17492	17496	Lymph node
17492	17497	Bone
17768	17769	Lung
17870	17872	(Unspecified organ)
18036	18037	Lung
18096	18097	Lymph node
18096	18098	Lung
18096	36327	Muscle - Striated - Skeletal
18134	18135	Lymph node
18138	18139	Lymph node
18142	18143	Lymph node
18146	18147	Lymph node
18212	18213	Liver
18212	18214	Lung
18296	18297	Liver
18397	18398	Kidney
18403	18404	Liver
18462	18463	Lung
18464	18469	Lung
18471	18472	Liver
18474	18497	Lung
18489	18493	Peritoneum - Omentum
18489	18494	Peritoneum - Mesentery
18489	18495	Peritoneum - Parietal
18489	18496	Peritoneum - Visceral
18489	18500	Peritoneum
22040	22041	Lung
22042	22043	Lung
22121	22287	Lung
22276	22281	Lung
22278	22282	Kidney
22279	22283	Liver
22280	22284	Lymph node
22280	22285	Adipose tissue - Brown
22280	22286	Lung
22647	21999	Lung
22647	22000	Bone marrow
22647	22002	Lymph node
22647	22003	Kidney
22873	22874	Lung
22967	22968	Lung
22967	23852	Kidney
22967	23853	Adipose tissue
22967	23854	Intestine
22991	22995	Lung
22994	22996	Lung
23014	24005	Lung
23238	23239	Mediastinum
23238	23241	Adrenal gland
23238	23263	Ovary
23246	23247	Mediastinum
23249	23252	Mediastinum
23251	23253	Bone
23251	23254	CNS - Brain
23251	23255	Adrenal gland
23251	23256	Liver
23251	24028	Ovary
23385	23408	(Unspecified organ)
23386	23387	(Unspecified organ)
23386	23876	Liver
23386	23877	Lung
23390	23391	(Unspecified organ)
23392	23393	(Unspecified organ)
23394	23395	(Unspecified organ)
23398	23399	Myocardium
23400	23401	Lung
23406	23407	(Unspecified organ)
23643	23644	Lymph node
24031	24032	Lung
24039	24040	Lung
24043	24044	Lung
24783	24785	Lung
24827	24831	Lung
25125	25126	Lung
25125	25127	Liver
25128	25129	Lung
25128	25130	Liver
25131	25132	Lung
25131	25133	Liver
25134	25135	Lung
